Store,Dates,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
3,1/06/2012,52.42,3.157,3824.22,9389.98,15,415.36,1476.85,223.1923049,6.833,FALSE
4,1/06/2012,38.64,3.158,7857.71,38677.72,234,863.22,8682.95,130.1575161,4.607,FALSE
5,1/06/2012,50.21,3.157,4602.39,6733.6,35.03,621.64,3507.24,220.2969205,5.943,FALSE
6,1/06/2012,50.82,3.157,3220.17,32056.43,108.24,985.76,6650.63,221.3088023,6.132,FALSE
7,1/06/2012,18.67,3.095,2373.44,11519.36,7.26,162.72,4504.47,196.5458309,8.256,FALSE
8,1/06/2012,43.47,3.157,3093.39,26001.46,96.35,500.91,4468.63,223.2409668,5.825,FALSE
9,1/06/2012,47.54,3.157,3597.08,6203.76,11.2,3743.55,1912.75,223.4332408,5.667,FALSE
10,1/06/2012,59.85,3.443,7737.75,38456.09,39.72,305.2,5408.08,130.1575161,7.545,FALSE
11,1/06/2012,54.44,3.157,5107.29,32305.3,144.66,530.55,6004.19,223.1923049,6.833,FALSE
12,1/06/2012,50.43,3.599,11181.59,33829.84,36.96,624.05,10152.27,130.1575161,12.187,FALSE
13,1/06/2012,33.8,3.08,6809.96,37106.52,179.77,1922.55,7481.58,130.1575161,6.104,FALSE
14,1/06/2012,35.88,3.422,10428.95,39234.09,839.74,981.17,15911.56,189.1940558,8.424,FALSE
15,1/06/2012,30.24,3.585,5597.99,17413.82,18.8,646.2,3098.77,136.698129,7.943,FALSE
16,1/06/2012,26.49,3.095,443.59,5524.49,15.7,35.25,3296.96,196.5458309,6.162,FALSE
17,1/06/2012,27.64,3.08,5185.45,12090.5,33.9,1490.06,4832.68,130.1575161,6.403,FALSE
18,1/06/2012,31.27,3.439,6196.77,43731.43,128.45,1653.17,8527.2,136.698129,8.075,FALSE
19,1/06/2012,31.84,3.585,9970.68,26073.98,233.88,1552.93,10335.05,136.698129,7.943,FALSE
20,1/06/2012,33.42,3.422,9273.46,45971.43,207.6,1365.38,5460.86,212.5711125,6.961,FALSE
21,1/06/2012,48.1,3.157,2211.62,28369.34,7.74,753.62,3371.85,219.355063,7.057,FALSE
22,1/06/2012,34.61,3.439,5803.25,34453.8,22.94,1777.64,8239.01,140.6461359,7.503,FALSE
23,1/06/2012,24.29,3.439,4230.07,34854.95,38.18,2408.34,3931.61,136.698129,4.261,FALSE
24,1/06/2012,32.86,3.585,7325.68,25367.9,203.51,1745.2,3261.35,136.698129,8.659,FALSE
25,1/06/2012,30.23,3.422,8642.2,26833.97,25.94,1092.98,3714.33,212.5711125,6.961,FALSE
26,1/06/2012,22.94,3.439,3352.77,17442.27,117.1,468.31,6344.32,136.698129,7.467,FALSE
27,1/06/2012,35.8,3.585,9235.59,29675.22,526.36,2399.37,6290.52,140.6461359,8.009,FALSE
