user,bookmarks,county,state,grams,cal,cal_fat,col,fiber,sodium,carbs,fat,protein,sugar,cal_n,cal_fat_n,carbs_n,col_n,fat_n,fiber_n,protein_n,sodium_n,sugar_n,saturated_fat_n,carbs_w,fat_w,fiber_w,protein_w,sodium_w,sugar_w,saturated_fat_w,diabetis,obese
2,29,Abbeville, South Carolina,322.3448276,202.8353423,152.8965517,0.062034483,2.196551724,0.601931034,30.89310345,16.97931034,12.31724138,12.27586207,210.1230302,86.9210558,26.42798556,0.030166599,9.633622956,1.272483779,5.36462378,0.294232251,15.34492184,4.090646102,50.36724416,37.73865538,0.261494253,11.89410046,0.071658456,28.62104672,15.98306028,14.2,34.2
4,69,Acadia, Louisiana,334.942029,217.8652236,160.9855072,0.069623188,2.926086957,0.65257971,28.11304348,17.87971014,15.95797101,10.41594203,205.9661126,103.3970991,18.99595793,0.037057747,11.48422056,1.331727531,7.383520188,0.329906216,9.988884461,4.725369873,35.77590975,46.47791876,0.348343685,17.74617148,0.077688061,15.97627171,18.22040237,,
4,112,Accomack, Virginia,354.0089286,251.5202641,162.875,0.095883929,2.278571429,0.698410714,21.54910714,18.10357143,25.325,6.225892857,157.7016491,75.16357263,10.40138191,0.04027553,8.353588637,0.92861181,10.01121825,0.27887025,3.801249182,2.854753817,25.3120453,44.3419716,0.271258503,30.34598309,0.083144133,8.341469902,14.47525222,12.1,36.6
105,2962,Ada, Idaho,320.359892,204.0695183,151.8980419,0.061181972,2.381195138,0.562276502,29.18906144,16.87626604,13.44834571,10.7019919,208.9416916,102.9885953,20.68385576,0.035015577,11.43989027,1.3529074,6.493004413,0.362462426,9.431434716,4.366430688,39.57349814,44.74110372,0.283475612,15.68539813,0.066937679,15.89366056,16.99458944,7.7,24.5
1,18,Adair, Iowa,223.1111111,151.6201779,85.94444444,0.052388889,2.338888889,0.305722222,25.85,9.572222222,9.238888889,9.977777778,186.2553277,75.14991209,23.24690418,0.036093914,8.378256229,2.052580911,5.545279673,0.210240057,9.355959143,3.884104508,49.62771692,34.32439836,0.278439153,16.04788472,0.036395503,15.91290966,13.30245535,12.4,31
3,165,Adair, Missouri,337.5515152,199.7616704,155.9030303,0.058818182,2.285454545,0.532484848,31.28606061,17.31878788,14.91575758,13.78181818,232.2230139,107.2197521,25.30459246,0.033822362,11.88725835,1.246341327,7.114471682,0.275694513,14.55174081,4.677928473,40.01837072,43.68371463,0.272077922,16.29791466,0.063391053,19.49287308,16.5992914,9.2,30.3
2,28,Adair, Oklahoma,302.8571429,226.7607777,138.4642857,0.074678571,2.735714286,0.639321429,21.05714286,15.38928571,20.55,6.139285714,153.9831121,68.31391698,12.81219691,0.036302662,7.542788674,2.048382044,9.65751271,0.314287833,4.035469955,2.745023926,30.94702421,41.90322393,0.325680272,27.14975186,0.076109694,9.539589862,15.10734789,14.3,38.2
48,968,Adams, Colorado,341.3109504,212.9374929,160.7572314,0.064502066,2.406921488,0.594166322,30.70237603,17.86022727,14.97417355,11.70051653,207.3882834,99.09917037,20.82096091,0.034920586,11.01117818,1.217485409,6.851287148,0.304142409,9.534792436,4.467663733,38.77565408,44.6090489,0.286538272,16.61529702,0.070734086,16.2472046,17.45986672,7,25.8
1,18,Adams, Idaho,418.7222222,339.5857125,212.0555556,0.071277778,3.172222222,0.703666667,31.36666667,23.55555556,19.85,11.96666667,181.5266224,91.37435595,16.30568137,0.029484443,10.15170783,1.089738392,6.301009862,0.253453793,8.481658881,4.022187192,33.0654155,48.09262806,0.377645503,18.84195643,0.083769841,13.71701855,18.33348715,11.8,29.4
5,104,Adams, Illinois,393.2115385,234.3207825,180.9615385,0.071528846,2.694230769,0.759807692,35.69807692,20.11057692,18.03076923,11.90288462,209.7966752,95.68836536,21.83357456,0.034236988,10.64137854,1.275782191,7.321370382,0.319266224,9.175676757,4.478832046,38.27569177,44.18798641,0.320741758,17.53632182,0.090453297,14.0885294,18.11371856,9.6,34.7
2,47,Adams, Iowa,356.9148936,211.5861814,181.4680851,0.084765957,2.827659574,0.721021277,28.32340426,20.16382979,16.70851064,9.370212766,201.8578147,94.70214621,20.03299099,0.045105085,10.52341021,1.240570321,7.343165229,0.339707582,7.295904168,5.008322606,37.30338979,45.79050244,0.33662614,16.90610777,0.085835866,12.90059455,20.75061739,10,32.3
4,166,Adams, Nebraska,337.3975904,239.9147322,153.0240964,0.06036747,2.901807229,0.682144578,31.4,16.99819277,15.36686747,10.8439759,179.8167455,80.42197673,18.88233734,0.030529466,8.930424278,1.268476059,6.482192733,0.31110826,8.177480938,3.551955752,40.0343367,42.48468502,0.345453242,17.48097828,0.081207688,15.14716156,16.55054837,9.3,29.7
9,495,Adams, Pennsylvania,319.1393939,196.0078736,150.5030303,0.059133333,2.125858586,0.542327273,28.92040404,16.71737374,13.62242424,11.45878788,201.4156981,95.33663172,20.5150759,0.034000561,10.58666704,1.183430473,6.581687439,0.289897488,10.46329958,4.097602601,41.0471941,43.36360193,0.253078403,15.58920397,0.064562771,18.94093818,16.3165537,11.6,32.2
1,92,Adams, Wisconsin,370.3369565,231.4430442,195.7065217,0.104858696,1.616304348,0.802413043,19.48804348,21.74347826,23.55217391,6.027173913,182.9384428,96.76995505,11.05739378,0.048841389,10.76517751,0.912959563,10.45572185,0.405508805,4.052690351,4.059891891,23.8247404,50.15894659,0.192417184,26.01631301,0.095525362,8.957593023,18.65328519,11.6,31.3
3,6,Addison, Vermont,440.6666667,250.3503872,187.1666667,0.102333333,3.933333333,0.445666667,46.51666667,20.8,18,15.91666667,237.2264692,103.4054298,29.41733825,0.052486579,11.49930734,2.166060139,6.102349927,0.186287707,16.6249555,4.925480627,45.88446357,39.98421967,0.468253968,14.13131676,0.053055556,20.28292574,16.61070477,7.4,23.5
18,301,Aiken, South Carolina,348.5415282,245.3561761,165.0033223,0.069511628,2.137209302,1.030956811,29.85581395,18.33521595,16.34352159,11.66710963,208.0232305,101.0310797,20.01686007,0.03688841,11.22280977,1.149597591,7.37499688,0.34544965,9.25513914,4.330357025,37.02079998,44.97609575,0.254429679,18.00310427,0.122732954,15.7546068,16.95094291,12.1,32
2,12,Aitkin, Minnesota,244.1666667,159.6209345,97.66666667,0.054583333,1.583333333,0.415166667,24.90833333,10.84166667,11.98333333,9.15,202.1916837,80.79720338,24.84097401,0.046576235,8.976104031,1.096386608,6.239614024,0.31194106,12.25409199,3.074524306,46.43389498,36.06720346,0.188492063,17.49890156,0.049424603,20.98409178,12.33123583,9.7,27.1
48,965,Alachua, Florida,304.0207254,196.1848635,138.6072539,0.056325389,2.491813472,0.52960829,30.28901554,15.4,11.96642487,13.08310881,205.283704,95.06254621,22.50156226,0.034140288,10.55683817,1.480932309,5.931573951,0.33689635,11.33178644,4.278983106,43.52064938,41.96777175,0.296644461,14.51157887,0.063048606,20.53645486,16.35111352,8.3,25.3
13,247,Alamance, North Carolina,325.8825911,175.1857153,157.1700405,0.060315789,1.978137652,0.60659919,30.24777328,17.46072874,12.81174089,12.5805668,228.1858937,103.3318745,25.66610895,0.035597565,11.47371341,1.524902152,6.616719962,0.454150491,12.54449886,4.773975621,42.5376246,43.28227204,0.235492578,14.18010336,0.072214189,19.30127965,17.51734002,12.1,33.7
116,1935,Alameda, California,331.4821705,220.5180933,157.2320413,0.066052196,2.570904393,0.611725065,27.93436693,17.4681137,16.12614987,9.541550388,190.3247597,92.72156328,17.74023762,0.034468114,10.29914871,1.342647106,7.210207693,0.34501647,7.404670152,3.968619893,36.79675361,44.65244104,0.306060047,18.55080535,0.072824412,13.61404844,16.74438842,8.2,20
4,83,Alamosa, Colorado,318.4337349,192.9740587,146.1325301,0.061036145,1.73253012,0.587915663,30.62409639,16.23614458,13.03614458,12.03975904,223.5073752,96.85114311,25.53795103,0.037348367,10.76986732,1.096287112,6.861486954,0.332131231,11.09893919,4.033365097,42.20499449,41.75592289,0.206253586,16.03908262,0.06998996,16.09960024,14.95512951,6.6,22.8
47,1276,Albany, New York,330.5846395,204.4162291,154.434953,0.0643221,2.370924765,0.613851097,29.51575235,17.15744514,14.86269592,10.6507837,206.4382411,97.22826116,20.81351184,0.03543826,10.79916086,1.345627838,7.108148998,0.357731404,9.470716121,4.293764623,38.94928452,44.00279738,0.282252948,17.0479181,0.073077512,15.80844207,17.13938618,9.8,27.2
