name,mfr
String,Categorical
100% Bran,N
100% Natural Bran,Q
All-Bran,K
All-Bran with Extra Fiber,K
Almond Delight,R
Apple Cinnamon Cheerios,G
Apple Jacks,K
Basic 4,G
Bran Chex,R
Bran Flakes,P
Cap'n'Crunch,Q
Cheerios,G
Cinnamon Toast Crunch,G
Clusters,G
Cocoa Puffs,G
Corn Chex,R
Corn Flakes,K
Corn Pops,K
Count Chocula,G
Cracklin' Oat Bran,K
Cream of Wheat (Quick),N
Crispix,K
Crispy Wheat & Raisins,G
Double Chex,R
Froot Loops,K
Frosted Flakes,K
Frosted Mini-Wheats,K
Fruit & Fibre Dates; Walnuts; and Oats,P
Fruitful Bran,K
Fruity Pebbles,P
Golden Crisp,P
Golden Grahams,G
Grape Nuts Flakes,P
Grape-Nuts,P
Great Grains Pecan,P
Honey Graham Ohs,Q
Honey Nut Cheerios,G
Honey-comb,P
Just Right Crunchy  Nuggets,K
Just Right Fruit & Nut,K
Kix,G
Life,Q
Lucky Charms,G
Maypo,A
Muesli Raisins; Dates; & Almonds,R
Muesli Raisins; Peaches; & Pecans,R
Mueslix Crispy Blend,K
Multi-Grain Cheerios,G
Nut&Honey Crunch,K
Nutri-Grain Almond-Raisin,K
Nutri-grain Wheat,K
Oatmeal Raisin Crisp,G
Post Nat. Raisin Bran,P
Product 19,K
Puffed Rice,Q
Puffed Wheat,Q
Quaker Oat Squares,Q
Quaker Oatmeal,Q
Raisin Bran,K
Raisin Nut Bran,G
Raisin Squares,K
Rice Chex,R
Rice Krispies,K
Shredded Wheat,N
Shredded Wheat 'n'Bran,N
Shredded Wheat spoon size,N
Smacks,K
Special K,K
Strawberry Fruit Wheats,N
Total Corn Flakes,G
Total Raisin Bran,G
Total Whole Grain,G
Triples,G
Trix,G
Wheat Chex,R
Wheaties,G
Wheaties Honey Gold,G
