"max(`INSPECTION DATE`)",Number_of_violations,AIRPORT
9/12/2016,3667,ABE
9/12/2016,5187,ABI
9/12/2016,1193,DFW
9/12/2016,89,SUX
9/12/2016,105,HRL
9/12/2016,91,TYS
9/12/2016,103,WYS
9/12/2016,664,DRO
9/12/2016,88,XNA
9/12/2016,17,APN
9/12/2016,583,DVL
9/12/2016,688,COS
9/12/2016,88,BTV
9/12/2016,37,AKN
9/12/2016,5515,
9/12/2016,974,CPR
9/12/2016,664,DSM
9/12/2016,9309,NULL
9/12/2016,102,LBB
9/12/2016,102,MAF
9/12/2016,102,MRY
9/12/2016,105,GRI
9/12/2016,99,OAK
9/12/2016,682,DAL
9/12/2016,105,JMS
9/12/2016,679,DBQ
9/12/2016,676,DCA
9/12/2016,676,DEN
9/12/2015,88,BZN
9/12/2015,91,TUL
9/12/2015,102,MEM
9/12/2015,105,HDN
9/12/2015,99,PDX
9/12/2015,105,JFK
9/12/2015,89,TRI
9/12/2015,105,GPT
9/12/2015,92,STT
9/12/2015,37,AEX
9/12/2015,102,MDT
9/12/2015,105,FSD
9/12/2015,688,CRP
9/12/2015,105,FLL
9/12/2015,95,PUB
9/12/2015,89,SWF
9/12/2015,89,TPA
9/12/2015,88,CAE
9/12/2015,92,SPI
9/12/2015,664,DTW
9/12/2015,88,CDV
9/12/2015,664,DHN
9/12/2015,95,RKS
9/12/2015,88,CIU
9/12/2015,688,COU
9/12/2015,664,DLH
9/12/2015,88,CMX
9/12/2015,151,ELM
9/12/2015,105,HLN
9/12/2015,105,HSV
9/12/2015,102,MLI
9/12/2015,102,MHT
9/12/2014,151,ECP
9/12/2014,102,MDW
9/12/2014,151,EAU
9/12/2014,88,BUF
9/12/2014,88,BUR
9/12/2014,682,DAB
9/12/2014,99,ORF
9/12/2014,105,GRB
9/12/2014,105,KTN
9/12/2014,47,BDL
9/12/2014,95,PIB
9/12/2014,120,EYW
9/12/2014,120,EWR
9/12/2014,88,CHS
9/12/2014,88,YAK
9/12/2014,95,PNS
9/12/2014,105,HPN
9/12/2014,95,SDF
9/12/2014,91,UST
9/12/2014,95,SCC
9/12/2014,102,LNK
9/12/2014,91,TYR
9/12/2014,688,CRW
9/12/2014,88,COD
9/12/2014,95,SEA
9/12/2014,95,ROC
9/12/2014,89,SYR
9/12/2014,105,ICT
9/12/2014,102,MOT
9/12/2014,105,ILG
9/12/2014,120,FAT
9/12/2014,95,RHI
9/12/2014,105,ISP
9/12/2013,151,ESC
9/11/2016,682,CWA
9/11/2016,679,DAY
9/11/2016,91,VLD
9/11/2016,95,RDD
9/11/2016,105,FLG
9/11/2016,95,PSP
9/11/2016,95,PIA
9/11/2016,105,GJT
9/11/2016,105,GNV
9/11/2016,105,LAW
9/11/2016,102,LRD
9/11/2016,105,LAN
9/11/2016,91,TVC
9/11/2016,99,OAJ
9/11/2016,102,LBE
9/11/2016,88,BOS
9/11/2016,88,BRW
9/11/2016,92,STC
9/11/2016,151,EKO
9/11/2016,95,SMF
9/11/2016,88,CEC
9/11/2015,95,PPG
9/11/2015,37,BJI
9/11/2015,664,DLG
9/11/2015,47,BIS
9/11/2015,664,DIK
9/11/2015,102,MFE
9/11/2015,105,GGG
9/11/2015,91,VPS
9/11/2015,105,GCC
9/11/2015,148,EUG
9/11/2015,105,GST
9/11/2015,95,RDU
9/11/2015,99,OKC
9/11/2015,99,PBG
9/11/2015,688,CSG
9/11/2015,105,JLN
9/11/2015,37,ACY
9/11/2015,105,GRK
9/11/2015,95,SBN
9/11/2015,99,PAH
9/11/2015,37,ACK
9/11/2015,95,SGU
9/11/2015,102,MMH
9/11/2015,102,LSE
9/11/2015,102,MFR
9/10/2015,102,LCH
9/10/2015,99,OMA
9/10/2015,88,CLT
9/10/2015,105,HYA
9/10/2015,688,CVG
9/10/2015,88,CHA
9/10/2015,99,PHL
9/10/2015,102,MKE
9/10/2015,151,EGE
9/10/2015,62,SUN
9/10/2015,99,PHF
9/10/2014,105,IAD
9/10/2014,102,MBS
9/10/2014,95,RNO
9/10/2014,105,JAX
9/10/2014,95,SJT
9/10/2014,95,ROW
9/10/2014,105,GSO
9/10/2014,99,MSY
9/10/2014,105,JAC
9/10/2014,120,FAR
9/10/2014,88,CLD
9/10/2014,102,MCO
9/10/2014,89,STX
9/10/2013,95,ROA
9/09/2016,99,MTJ
9/09/2016,95,RIC
9/09/2016,95,SAN
9/09/2016,95,SIT
9/09/2016,95,SLC
9/09/2016,95,SMX
9/09/2016,92,STL
9/09/2016,91,TTN
9/09/2016,102,LIT
9/09/2016,47,BET
9/09/2016,47,BIL
9/09/2016,151,ELP
9/09/2016,105,GUC
9/09/2016,105,ISN
9/09/2016,89,TOL
9/09/2016,102,MLU
