CAM,DBA,A_PORT,AIRNAME,BUILD,CUISINE_DESC,INS_DATE,ACTION_1,V_CODE,V_DESC,C_FLAG,SCR,GRD,GRD_DATE,REC_DATE,INS_TYPE
40511702,"NOTARO RESTAURANT",ABE,"Lehigh Valley International Airport",635,Italian,15/06/2015,"Violations were cited in the following area(s).",02B,"Hot food item not held at or above 140Âº F.",Critical,30,,,28/08/2017,"Cycle Inspection / Initial Inspection"
40511702,"NOTARO RESTAURANT",ABE,"Lehigh Valley International Airport",635,Italian,25/11/2014,"Violations were cited in the following area(s).",20F,"Current letter grade card not posted.","Not Critical",,,,28/08/2017,"Administrative Miscellaneous / Initial Inspection"
50046354,"VITE BAR",ABE,"Lehigh Valley International Airport",2507,Italian,3/10/2016,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,,,28/08/2017,"Pre-permit (Operational) / Initial Inspection"
50061389,"TACK'S CHINESE TAKE OUT",ABE,"Lehigh Valley International Airport",11C,Chinese,17/05/2017,"Violations were cited in the following area(s).",02G,"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",Critical,46,,,28/08/2017,"Pre-permit (Operational) / Initial Inspection"
41516263,"NO QUARTER",ABE,"Lehigh Valley International Airport",8015,American,30/03/2017,"Violations were cited in the following area(s).",04M,"Live roaches present in facility's food and/or non-food areas.",Critical,18,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50015855,"KABAB HOUSE NYC",ABE,"Lehigh Valley International Airport",4339,Pakistani,3/03/2015,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",19,,,28/08/2017,"Pre-permit (Operational) / Compliance Inspection"
50058069,"HENRI'S BACKYARD",ABE,"Lehigh Valley International Airport",256,American,22/06/2017,"Violations were cited in the following area(s).",04K,"Evidence of rats or live rats present in facility's food and/or non-food areas.",Critical,39,C,22/06/2017,28/08/2017,"Pre-permit (Operational) / Re-inspection"
40807238,"RICHMOND COUNTY COUNTRY CLUB",ABE,"Lehigh Valley International Airport",1122,American,14/06/2017,"Violations were cited in the following area(s).",02G,"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",Critical,12,A,14/06/2017,28/08/2017,"Cycle Inspection / Initial Inspection"
41547684,"PLANET WINGS",ABE,"Lehigh Valley International Airport",480,American,10/03/2015,"Violations were cited in the following area(s).",02G,"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",Critical,28,,,28/08/2017,"Cycle Inspection / Initial Inspection"
40376944,"TOMOE SUSHI",ABE,"Lehigh Valley International Airport",172,Japanese,6/10/2015,"Violations were cited in the following area(s).",02G,"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",Critical,13,A,6/10/2015,28/08/2017,"Cycle Inspection / Re-inspection"
