Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
4,1/7/2011,39.34,2.98,NA,NA,NA,NA,NA,127.1917742,6.51,FALSE
5,1/7/2011,48.3,2.976,NA,NA,NA,NA,NA,211.9560305,6.634,FALSE
6,1/7/2011,47.78,2.976,NA,NA,NA,NA,NA,212.9134266,6.858,FALSE
7,1/7/2011,10.09,2.882,NA,NA,NA,NA,NA,191.3683815,8.818,FALSE
8,1/7/2011,35.77,2.976,NA,NA,NA,NA,NA,214.7415521,6.262,FALSE
9,1/7/2011,41.82,2.976,NA,NA,NA,NA,NA,214.9234729,6.416,FALSE
10,1/7/2011,43.43,3.287,NA,NA,NA,NA,NA,127.1917742,8.744,FALSE
11,1/7/2011,54.43,2.976,NA,NA,NA,NA,NA,214.6955104,7.551,FALSE
12,1/7/2011,37.64,3.287,NA,NA,NA,NA,NA,127.1917742,14.021,FALSE
13,1/7/2011,16.94,2.891,NA,NA,NA,NA,NA,127.1917742,7.47,FALSE
14,1/7/2011,34.32,3.193,NA,NA,NA,NA,NA,182.5983058,8.549,FALSE
15,1/7/2011,30.53,3.351,NA,NA,NA,NA,NA,132.8823226,7.771,FALSE
16,1/7/2011,12.39,2.882,NA,NA,NA,NA,NA,191.3683815,6.614,FALSE
17,1/7/2011,6.23,2.891,NA,NA,NA,NA,NA,127.1917742,6.866,FALSE
18,1/7/2011,30.1,3.193,NA,NA,NA,NA,NA,132.8823226,9.131,FALSE
19,1/7/2011,31.34,3.351,NA,NA,NA,NA,NA,132.8823226,7.771,FALSE
20,1/7/2011,31.43,3.193,NA,NA,NA,NA,NA,204.6487803,7.343,FALSE
21,1/7/2011,44.24,2.976,NA,NA,NA,NA,NA,211.0648881,8.028,FALSE
22,1/7/2011,32.56,3.193,NA,NA,NA,NA,NA,136.7332569,8.458,FALSE
23,1/7/2011,27.81,3.193,NA,NA,NA,NA,NA,132.8823226,5.114,FALSE
24,1/7/2011,30.72,3.351,NA,NA,NA,NA,NA,132.8823226,8.252,FALSE
25,1/7/2011,29,3.193,NA,NA,NA,NA,NA,204.6487803,7.343,FALSE
26,1/7/2011,21.13,3.193,NA,NA,NA,NA,NA,132.8823226,7.907,FALSE
27,1/7/2011,34.42,3.351,NA,NA,NA,NA,NA,136.7332569,7.827,FALSE
28,1/7/2011,37.64,3.287,NA,NA,NA,NA,NA,127.1917742,14.021,FALSE
29,1/7/2011,32.56,3.193,NA,NA,NA,NA,NA,132.8823226,10.256,FALSE
30,1/7/2011,44.24,2.976,NA,NA,NA,NA,NA,211.0648881,8.028,FALSE
31,1/7/2011,44.24,2.976,NA,NA,NA,NA,NA,211.0648881,8.028,FALSE
32,1/7/2011,23.78,2.882,NA,NA,NA,NA,NA,191.3683815,8.818,FALSE
33,1/7/2011,46.25,3.287,NA,NA,NA,NA,NA,127.1917742,8.951,FALSE
34,1/7/2011,24.5,2.98,NA,NA,NA,NA,NA,127.1917742,10.398,FALSE
35,1/7/2011,34.42,3.193,NA,NA,NA,NA,NA,136.7332569,8.549,FALSE
36,1/7/2011,54.11,2.942,NA,NA,NA,NA,NA,210.1842358,8.395,FALSE
37,1/7/2011,54.11,2.976,NA,NA,NA,NA,NA,210.1842358,8.395,FALSE
