Report generated on: 05-17-2020 17:31:55
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","electricity net generation (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-USA-BKWH.A","        United States","2289.600789","2297.973836","2244.37224","2313.445566","2419.465819","2473.002395","2490.470889","2575.287284","2707.41113","2963.345846","3034.245377","3069.097219","3080.203036","3193.748663","3243.905958","3349.440968","3440.682901","3488.634142","3616.807715","3690.883322","3797.421685","3736.77693502","3858.61051059","3883.37040664","3970.78393549","4055.7660179","4065.20377612","4157.45256573","4120.5245608","3951.85989639","4127.47026656","4103.96588245","4053.91601571","4074.09514181","4104.83868235","4091.74033034","4095.48740621","4058.26117256","4203.93645368"
"","nuclear electricity net generation (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.27-12-USA-BKWH.A","        United States","251.116","272.674","282.773","293.677","327.634","383.691","414.038","455.27","526.973","529.355","576.862","612.565","618.776","610.291","640.44","673.402","674.729","628.644","673.702","728.254","753.893","768.826","780.064","763.733","788.528","781.986","787.219","806.425","806.208","798.855","806.968","790.204","769.331","789.016","797.166","797.178","805.694","804.95","807.084"
"","fossil fuels electricity net generation (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.28-12-USA-BKWH.A","        United States","1753.796457","1755.40118","1644.061443","1678.02133","1758.882261","1794.276363","1770.924752","1854.894663","1942.353039","2108.628943","2103.619665","2103.262931","2138.704811","2230.741008","2270.13258","2293.908429","2346.018207","2430.319913","2547.065197","2569.669781","2692.478478","2677.004755","2730.166177","2758.649956","2824.798054","2909.522461","2885.295127","2992.237707","2926.731334","2726.451556","2883.361313","2788.867379","2775.024247","2745.967657","2750.572956","2727.245754","2654.467826","2536.108892","2653.377204"
"","renewable electricity net generation (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.29-12-USA-BKWH.A","        United States","284.688332","269.898656","317.537797","341.747236","332.949558","295.035032","305.508137","265.122621","238.085091","325.361903","357.271453","357.810723","326.898807","356.752227","336.711203","384.85567","423.023772","433.710134","400.507798","399.05644","356.589067","299.76962502","357.12326159","369.52251564","365.94609149","370.8153449","399.24749112","365.68621073","393.8732888","431.18068539","442.64208556","531.31501945","514.51126471","543.79251781","563.27327435","572.40806434","642.01170721","723.69682856","749.37978868"
"","hydroelectricity net generation (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.33-12-USA-BKWH.A","        United States","279.18209","263.844664","312.374013","335.290855","324.311365","284.310538","294.005219","252.856093","226.100803","271.976936","292.865846","288.994189","253.088003","280.494008","260.125733","310.832748","347.162063","356.453295","323.335661","319.536029","275.572597","216.961045","264.328831","275.806323","268.417308","270.321255","289.246416","247.509974","254.831385","273.445094","260.203069","319.354904","276.240223","268.565383","259.366622","249.080085","267.812153","300.333156","292.523989"
"","non-hydro renewable electricity net generation (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.34-12-USA-BKWH.A","        United States","5.506242","6.053992","5.163784","6.456381","8.638193","10.724494","11.502918","12.266528","11.984288","53.384967","64.405607","68.816534","73.810804","76.258219","76.58547","74.022922","75.861709","77.256839","77.172137","79.520411","81.01647","82.80858002","92.79443059","93.71619264","97.52878349","100.4940899","110.00107512","118.17623673","139.0419038","157.73559139","182.43901656","211.96011545","238.27104171","275.22713481","303.90665235","323.32797934","374.19955421","423.36367256","456.85579968"
"","geothermal electricity net generation (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.35-12-USA-BKWH.A","        United States","5.073079","5.686163","4.842865","6.075101","7.740504","9.32523","10.307954","10.775461","10.300079","14.593443","15.434271","15.966444","16.137962","16.788565","15.535453","13.378258","14.328684","14.726102","14.773918","14.827013","14.093158","13.740501","14.49131","14.424231","14.810975","14.691745","14.568029","14.637213","14.839977","15.008658","15.219213","15.316068","15.562426","15.774674","15.876941","15.917575","15.825807","15.926765","15.967134"
"","solar, tide, wave, fuel cell electricity net generation (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.36-12-USA-BKWH.A","        United States","0","0","0","0","0.005248","0.01063","0.014032","0.010497","0.009094","0.279926","0.400468","0.509035","0.440622","0.507389","0.536949","0.554358","0.58731","0.585188","0.586204","0.592491","0.603871","0.676349","0.713182","0.718901","0.804213","0.893927","1.008889","1.319388","2.00155","2.419733","3.622849","5.643019","10.47768","17.167167","28.92369","39.032171","54.866492","77.276459","93.364598"
"","tide and wave electricity net generation (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
