"max(`INSPECTION DATE`)",Number_of_violations,AIRPORT
9/12/2016,36,JMS
9/12/2015,86,TPA
9/12/2014,74,BDL
9/12/2013,4,ABE
9/11/2016,71,ABI
9/11/2015,90,ABE
9/11/2013,3,DBQ
9/10/2015,47,CLT
9/10/2014,66,ABI
9/10/2013,12,EWR
9/09/2016,49,ABE
9/09/2015,81,ABE
9/09/2014,94,ABI
9/08/2017,118,ABI
9/08/2016,85,ABE
9/08/2014,10,MSN
9/08/2013,2,DLG
9/07/2016,6,EWN
9/07/2015,60,BOS
9/07/2014,69,ABE
9/07/2013,3,IDA
9/06/2017,50,ABE
9/06/2016,93,ABE
9/06/2015,51,ABE
9/06/2014,43,ABE
9/05/2017,82,ABE
9/05/2016,39,IAH
9/05/2015,26,ABI
9/05/2014,32,TWF
9/05/2013,1,
9/04/2016,35,BET
9/04/2015,102,ABE
9/04/2014,39,FAY
9/03/2017,99,ABE
9/03/2016,65,ABI
9/03/2015,67,ABI
9/03/2014,1,LCH
9/02/2017,31,ABE
9/02/2016,77,ABE
9/02/2015,95,ABI
9/01/2017,60,ABI
9/01/2016,32,ABE
9/01/2015,62,ABI
9/01/2014,14,ABE
8/12/2016,62,ABI
8/12/2015,77,ABI
8/12/2014,85,ABE
8/11/2014,13,GUM
8/11/2013,3,MTJ
8/10/2016,23,ABE
8/10/2015,74,ABI
8/10/2014,97,ABI
8/10/2013,5,ABI
8/09/2016,82,ABE
8/09/2015,72,ABE
8/09/2014,82,ABE
8/08/2017,97,ABE
8/08/2016,73,ABE
8/08/2015,9,HRL
8/08/2014,40,COU
8/08/2013,3,ABI
8/07/2017,2,ORF
8/07/2016,30,PSP
8/07/2015,89,ABE
8/07/2014,32,ABE
8/06/2017,96,AZO
8/06/2016,97,ABI
8/06/2015,78,ABE
8/06/2014,2,DTW
8/06/2013,1,MAR
8/05/2015,65,ABE
8/05/2014,55,GCC
8/04/2017,14,TLH
8/04/2016,50,ABI
8/04/2015,101,ABE
8/04/2014,46,ABI
8/03/2017,83,ABI
8/03/2016,83,ABE
8/03/2014,22,ABE
8/03/2013,1,EYW
8/02/2017,86,ABE
8/02/2016,69,ABI
8/01/2016,45,ABE
8/01/2015,92,ABE
8/01/2014,23,SFO
7/12/2016,71,ABI
7/12/2015,56,ABI
7/12/2013,7,ABI
7/11/2016,61,ABE
7/11/2015,15,ABE
7/11/2014,38,ABE
7/11/2013,21,ABE
7/10/2016,71,ABI
7/10/2015,79,ABI
7/10/2014,92,ABI
7/10/2013,12,ACT
7/09/2016,91,ABE
7/08/2017,82,ABE
7/08/2014,84,ABE
7/08/2013,5,PSP
7/07/2017,52,ABI
7/07/2016,64,ABE
7/07/2015,96,ABI
7/07/2014,33,ABE
7/06/2017,97,ABI
7/06/2016,82,ABI
7/06/2015,3,HOB
7/06/2014,32,ABE
7/05/2016,10,LEX
7/05/2015,93,ABI
7/05/2014,43,ABI
7/04/2017,45,ABI
7/04/2016,78,ABE
7/04/2015,105,ABE
7/04/2014,23,ABE
7/03/2017,74,ABE
7/03/2016,78,ABE
7/03/2015,22,ABI
7/03/2014,27,CAE
7/02/2017,90,ABE
7/02/2016,3,NULL
7/02/2015,14,OMA
7/02/2014,16,PUB
7/01/2017,7,ABE
7/01/2016,83,ABI
7/01/2015,86,ABE
7/01/2014,18,MAF
6/12/2016,65,ABE
6/12/2015,2,NULL
6/12/2014,13,CRP
6/12/2013,9,ABI
6/11/2015,43,CDV
6/11/2014,98,ABI
6/11/2013,10,ABI
6/10/2016,80,ABI
6/10/2015,85,ABE
6/10/2014,50,ABE
6/09/2016,91,ABI
6/09/2014,20,STX
6/09/2013,3,ABI
6/08/2016,9,LAX
6/08/2015,61,ABI
6/08/2014,72,ABI
6/08/2013,2,DFW
6/07/2017,96,ABE
6/07/2016,60,ABI
6/07/2015,31,ABE
6/06/2017,76,ABE
6/06/2016,84,ABE
6/06/2015,12,CSG
6/06/2014,44,MFE
